key	pdb	ab	struct	datafile	vmin	vmax
lysozyme	1DQJ	HyHEL-63	structures/1AKI.pdb	manuscript/figures/ddg/lysozyme_1DQJ.dat	-7.420	7.420
lysozyme	1VFB	IgG1-kappa D1.3 Fv	structures/1AKI.pdb	manuscript/figures/ddg/lysozyme_1VFB.dat	-7.420	7.420
lysozyme	3HFM	HyHEL-10 Fv	structures/1AKI.pdb	manuscript/figures/ddg/lysozyme_3HFM.dat	-7.420	7.420
hpr	2JEL	Jel42	structures/HPr_2JEL.pdb	manuscript/figures/ddg/hpr_2JEL.dat	-7.420	7.420
vegf	1BJ1	fab-12	structures/VEGF_1BJ1.pdb	manuscript/figures/ddg/vegf_1BJ1.dat	-7.420	7.420
vegf	1CZ8	Y0317	structures/VEGF_1BJ1.pdb	manuscript/figures/ddg/vegf_1CZ8.dat	-7.420	7.420
bonta1	2NYY	CR1	structures/BontA1-Hc_2NYY.pdb	manuscript/figures/ddg/bonta1_2NYY.dat	-7.420	7.420
bonta1	2NZ9	AR2	structures/BontA1-Hc_2NYY.pdb	manuscript/figures/ddg/bonta1_2NZ9.dat	-7.420	7.420
ifngr	1JRH	A6	structures/IFNgR_1JRH.pdb	manuscript/figures/ddg/ifngr_1JRH.dat	-7.420	7.420
tf	1AHW	5G9	structures/TissueFactor_1AHW.pdb	manuscript/figures/ddg/tf_1AHW.dat	-7.420	7.420
hcmvgb	5C6T	1G2	structures/HCMVgB_5C6T.pdb	manuscript/figures/ddg/hcmvgb_5C6T.dat	-7.420	7.420
hgh	1HGU	MAb3	structures/hGH_1HGU.pdb	manuscript/figures/ddg/hgh_1HGU.dat	-7.420	7.420
